Date,Algo 1,Algo 2
2015-09-18,0.023427166,-0.012599977
2015-09-21,-0.001922903,-0.000270826
2015-09-22,0.003055691,-0.013679155
2015-09-23,-0.010264264,-0.005040592
2015-09-24,-0.002778781,0.000693431
2015-09-25,-0.001509636,-0.010760916
2015-09-28,-0.017165253,-0.02616613
2015-09-29,-0.013691651,-0.007279072
2015-09-30,0.020916384,0.015348751
2015-10-01,0.009218633,-0.003987366
2015-10-02,0.02540242,0.013143946
2015-10-05,0.02638122,0.019277734
2015-10-06,-0.003479894,0.000533846
2015-10-07,0.006418058,0.012415636
2015-10-08,-0.013654052,0.01244669
2015-10-09,0.009467566,0.001960737
2015-10-12,0.010230944,-0.001806332
2015-10-13,0.001488355,-0.009775179
2015-10-14,-0.003558852,-0.002834228
2015-10-15,-0.001652575,0.015904572
2015-10-16,0.006359349,-0.0037779
2015-10-19,0.009801132,-0.003041476
2015-10-20,-0.012867042,0.01173949
2015-10-21,-0.000410877,-0.013079035
2015-10-22,0.001805025,0.006745202
2015-10-23,4.22E-05,0.005278168
2015-10-26,-0.002997406,-0.004345979
2015-10-27,-0.011335913,-0.012363642
2015-10-28,0.011749728,0.019954597
2015-10-29,0.000897998,-0.007118613
2015-10-30,-0.000629491,-0.00227343
2015-11-02,0.012057563,0.016660504
2015-11-03,0.01946934,0.000628713
2015-11-04,-0.00457767,-0.000906307
2015-11-05,0.000543253,-0.005895787
2015-11-06,-0.011656573,0.003995734
2015-11-09,-0.001400874,-0.010064552
2015-11-10,-0.001358219,-0.000530476
2015-11-11,0.005283969,-0.004188594
2015-11-12,0.002786831,-0.016438638
2015-11-13,0.004208395,-0.007261028
2015-11-16,-0.001445836,0.002769869
2015-11-17,-0.006806756,-0.005814568
2015-11-18,0.00257282,0.011198617
2015-11-19,-0.00279541,-0.002848762
2015-11-20,-0.000582911,0.000913331
2015-11-23,0.012756508,0.002213502
2015-11-24,0.041067263,0.007597603
2015-11-25,-0.000418064,0.004739928
2015-11-27,0.001386733,0.003809786
2015-11-30,-0.004004771,-0.00220742
2015-12-01,0.030832016,0.00359875
2015-12-02,-0.001817596,-0.006902935
2015-12-03,0.007113686,-0.013702834
2015-12-04,-0.012095208,0.008606782
2015-12-07,-0.013882327,-0.016038465
2015-12-08,-0.004197282,-0.004479135
2015-12-09,0.009648181,-0.00973112
2015-12-10,0.002730726,0.000396485
2015-12-11,-0.017536919,-0.018083892
2015-12-14,-0.013886189,-0.008424942
2015-12-15,0.009155801,0.010389403
2015-12-16,0.012167283,0.016363282
2015-12-17,-0.003420223,-0.007812954
2015-12-18,0.002548551,-0.006163531
2015-12-21,0.000670123,0.007648304
2015-12-22,0.015359404,0.006435866
2015-12-23,0.017169012,0.009707752
2015-12-24,0.002324515,0.001933395
2015-12-28,0.001625414,-0.009060539
2015-12-29,0.004075016,0.00814171
2015-12-30,0.002879666,-0.010101796
2015-12-31,0.013160338,-0.003077365
2016-01-04,-0.000307439,-0.014484957
2016-01-05,0.009159737,0.001770009
2016-01-06,0.010345537,-0.015502555
2016-01-07,-8.05E-05,-0.029061436
2016-01-08,-0.00689668,-0.012941377
2016-01-11,-0.007627089,-0.018450672
2016-01-12,0.000975867,-0.008696938
2016-01-13,-0.030951196,-0.028272725
2016-01-14,0.025340066,0.010144761
2016-01-15,-0.020940871,-0.020110215
2016-01-19,-0.027786565,-0.016735079
2016-01-20,0.014661161,-0.002642806
2016-01-21,0.026358578,0.009416138
2016-01-22,0.026711594,0.022633529
2016-01-25,-0.009831043,-0.014275636
2016-01-26,0.006632369,0.019608693
2016-01-27,0.004883555,-0.008389187
2016-01-28,0.003473012,0.002787869
2016-01-29,-0.001381507,0.02483135
2016-02-01,0.009405266,-0.001073747
2016-02-02,0.003568397,-0.019519124
2016-02-03,-0.009038515,0.012126661
2016-02-04,0.002259365,0.008590267
2016-02-05,-0.017002207,-0.015245844
2016-02-08,-0.013435454,-0.021327666
2016-02-09,0.010559735,-0.015055577
2016-02-10,0.010326126,-0.001856937
2016-02-11,-0.001993697,-0.014178025
2016-02-12,0.005617929,0.019413843
2016-02-16,0.018952942,0.022531937
2016-02-17,0.017085988,0.019083097
2016-02-18,-0.005504139,-0.004830309
2016-02-19,0.00345468,0.000243989
2016-02-22,0.006399252,0.015410675
2016-02-23,-0.010839172,-0.013449162
2016-02-24,0.005191184,0.006252267
2016-02-25,-0.005957386,0.006605277
2016-02-26,0.005785746,0.005179781
2016-02-29,0.004232063,-0.00085102
2016-03-01,-0.005266627,0.017114581
2016-03-02,0.000264221,0.010729453
2016-03-03,-0.003241486,0.007457823
2016-03-04,0.006333152,0.00761332
2016-03-07,-0.00344549,0.01416566
2016-03-08,0.034129567,-0.022801927
2016-03-09,0.001952586,0.007020416
2016-03-10,0.006493616,-0.008263211
2016-03-11,-0.006675516,0.01803084
2016-03-14,0.007217838,-0.001743344
2016-03-15,0.005306906,-0.011583794
2016-03-16,-0.011737559,0.01305519
2016-03-17,-0.008773611,0.016801891
2016-03-18,0.010451522,0.005620344
2016-03-21,0.002404297,0.001015022
2016-03-22,0.001173809,-0.00187274
2016-03-23,-0.008288187,-0.02287193
2016-03-24,-0.001557782,0.003512119
2016-03-28,-0.001607232,-0.002411985
2016-03-29,0.000700062,0.016144978
2016-03-30,0.005225598,0.002242715
2016-03-31,0.00037465,0.001473227
2016-04-01,0.000557412,0.00320623
2016-04-04,-0.002449426,-0.00678743
2016-04-05,0.00176633,-0.011765026
2016-04-06,-0.008742509,0.009941186
2016-04-07,-0.002656295,-0.008120283
2016-04-08,0.016869787,0.006233936
2016-04-11,0.005885811,-0.000792995
2016-04-12,0.005309583,0.006666489
2016-04-13,0.006491716,0.012361725
2016-04-14,0.005454335,-0.002140269
2016-04-15,-0.002712938,-0.000259652
2016-04-18,-0.006093642,0.006540626
2016-04-19,-0.009744843,0.007298536
2016-04-20,-0.001830938,0.004562949
2016-04-21,-0.004580044,0.001753705
2016-04-22,-0.000303992,0.00625097
2016-04-25,0.013475014,-0.007617943
2016-04-26,-0.009391311,0.007820609
2016-04-27,-0.005663221,0.002865677
2016-04-28,0.007354601,-0.005454445
2016-04-29,-0.007453334,-0.003426243
2016-05-02,0.008101785,-0.001298874
2016-05-03,0.006863158,-0.015256337
2016-05-04,-0.00619216,-0.004789408
2016-05-05,-0.005207121,-0.002087983
2016-05-06,-9.85E-05,0.001641197
2016-05-09,0.009158512,-0.006076073
2016-05-10,0.004688808,0.00889389
2016-05-11,-0.005708662,-0.003262753
2016-05-12,-0.020790351,-0.005760771
2016-05-13,0.000753891,-0.005276923
2016-05-16,0.005735408,0.008008837
2016-05-17,0.006045349,-0.007821103
2016-05-18,0.002197735,-0.002462164
2016-05-19,-0.00345741,-0.005353729
2016-05-20,0.007501475,0.010610522
2016-05-23,-0.002775263,0.002237259
2016-05-24,-0.002982146,0.01127604
2016-05-25,0.000421537,0.006711063
2016-05-26,0.000300496,-0.001097709
2016-05-27,-0.001298371,0.006413103
2016-05-31,-0.01360839,0.00387967
2016-06-01,-0.001827576,0.006112775
2016-06-02,-0.006818907,0.006573798
2016-06-03,0.019975194,-0.005710206
2016-06-06,-0.002857646,0.012116436
2016-06-07,0.008739395,0.002299595
2016-06-08,0.001054231,0.006269768
2016-06-09,0.003760088,-0.004897824
2016-06-10,0.011992565,-0.017997493
2016-06-13,-0.000432577,-0.010481869
2016-06-14,-0.004552088,-0.00297025
2016-06-15,-0.001870548,0.002348253
2016-06-16,-0.002974339,-0.001529801
2016-06-17,-0.00534414,0.001288394
2016-06-20,0.005904216,0.008472222
2016-06-21,-0.005270118,-0.003010025
2016-06-22,0.001117483,-0.003123188
2016-06-23,0.009212774,0.01331902
2016-06-24,-0.021663643,-0.028198637
2016-06-27,-0.003003017,-0.024793911
2016-06-28,0.008003526,0.020240137
2016-06-29,0.008124653,0.017175476
2016-06-30,0.0003092,0.01047532
2016-07-01,0.002612521,0.007527709
2016-07-05,-0.026303969,-0.009555831
2016-07-06,-0.003491327,0.005597944
2016-07-07,0.011133442,0.000270494
2016-07-08,0.006548141,0.017137609
2016-07-11,0.005130292,0.005201626
2016-07-12,0.01824247,0.009621734
2016-07-13,-0.000398266,-0.003026636
2016-07-14,-0.003357271,0.000951004
2016-07-15,-0.000539956,0.005806562
2016-07-18,0.000693944,0.002672579
2016-07-19,0.005219836,-0.004231583
2016-07-20,-0.00100742,0.004392973
2016-07-21,0.005754432,-0.001697538
2016-07-22,-0.001896637,0.008689738
2016-07-25,-0.002279406,-0.003032887
2016-07-26,0.005464675,0.006155822
2016-07-27,0.001840133,0.001629692
2016-07-28,0.002400107,-0.000554733
2016-07-29,0.005194895,0.002849858
2016-08-01,-0.014306274,-0.002811414
2016-08-02,0.0052461,-0.010940801
2016-08-03,0.002866245,0.009999675
2016-08-04,-0.002503203,0.001532513
2016-08-05,0.003596133,0.004152101
2016-08-08,0.004369739,-0.00113715
2016-08-09,0.002393451,-0.002178366
2016-08-10,0.002286983,-0.006890318
2016-08-11,-0.0007086,0.004822784
2016-08-12,-0.001424,0.002388841
2016-08-15,-0.001791893,0.005976578
2016-08-16,-0.001068023,-0.007262195
2016-08-17,0.000893738,-0.001359689
2016-08-18,-0.005624006,0.006877055
2016-08-19,-0.000266652,-0.000756768
2016-08-22,0.003840419,-0.000667428
2016-08-23,0.002700599,0.006241149
2016-08-24,-0.002136436,-0.008405695
2016-08-25,0.000682112,-1.82E-07
2016-08-26,-0.00088905,0.001219387
2016-08-29,0.003486189,0.004105047
2016-08-30,-0.00562199,0.000530507
2016-08-31,-0.005798207,-0.004447462
2016-09-01,0.002257485,-0.000581808
2016-09-02,0.000423875,0.009809123
2016-09-06,0.004714262,0.004575537
2016-09-07,-0.001534065,0.005013453
2016-09-08,0.008617316,0.003821295
2016-09-09,-0.000277399,-0.024698664
2016-09-12,-0.001726833,0.008470318
2016-09-13,-0.002606354,-0.017934273
2016-09-14,-0.004434158,-0.001588699
2016-09-15,-0.003063089,0.008310762
2016-09-16,0.002904612,0.002639046
2016-09-19,-0.001536561,0.004277593
2016-09-20,-0.004569742,-0.000466726
2016-09-21,0.005957764,0.012184702
2016-09-22,0.004947188,0.006360663
2016-09-23,-0.004112019,-0.003931585
2016-09-26,0.0031934,-0.007193863
2016-09-27,-0.00355071,0.002122239
2016-09-28,0.012061586,0.006329498
2016-09-29,0.00839732,-0.009397066
2016-09-30,-0.00083024,0.009219532
2016-10-03,-0.004191526,-0.003618671
2016-10-04,0.002287328,-0.007125917
2016-10-05,-0.006946009,0.007664435
2016-10-06,-0.003471016,-0.003593528
2016-10-07,0.005177006,-0.005073102
2016-10-10,-0.004817683,0.009926638
2016-10-11,-0.003888389,-0.01457589
2016-10-12,0.002936168,-0.003782767
2016-10-13,0.007997057,-0.008688165
2016-10-14,-0.006981445,-0.00117338
2016-10-17,-0.001055741,-0.003447321
2016-10-18,0.003451123,0.006816857
2016-10-19,0.001619364,0.004925399
2016-10-20,-0.000235142,-0.000638341
2016-10-21,-0.000476875,-0.000884159
2016-10-24,-0.002834676,0.002744289
2016-10-25,-0.008514568,-0.005852106
2016-10-26,-0.002584846,-0.006861142
2016-10-27,0.000575875,-0.005797881
2016-10-28,-0.008939539,-0.007857417
2016-10-31,-0.007077281,0.000476228
2016-11-01,0.001431298,-0.007887896
2016-11-02,-0.004243534,-0.008850293
2016-11-03,-0.010878155,-0.006864615
2016-11-04,0.007627395,-0.000145293
2016-11-07,0.008214863,0.018080709
2016-11-08,0.000977777,0.002157246
